Church Name,Careportal,Denomination,Street Address,City,ZIP,Website,Phone
Coast Hills Church,,Non-denominational,5 Pursuit,Aliso Viejo,92656,coasthills.church,949-362-0079
Corpus Christi Catholic Church,,Roman Catholic,27231 Aliso Viejo Pkwy,Aliso Viejo,92656,avcatholics.org,949-389-9008
Saddleback Church – Aliso Viejo,,Southern Baptist,28000 Wolverine Way,Aliso Viejo,92656,saddleback.com,
Aliso Creek Church,,Presbyterian,2A Liberty,Aliso Viejo,92656,alisocreekchurch.org,949-460-0080
City Harvest Church OC,,Non-denominational,27111 Aliso Creek Rd #100,Aliso Viejo,92656,chcus.org,
Lutheran Church of the Cross – AV,,Lutheran,1 Orion,Aliso Viejo,92656,,
Calvary Chapel Pacific Hills,,Calvary Chapel,27111 Aliso Creek Rd Ste 155,Aliso Viejo,92656,ccpacifichills.org,949-362-7475
Celebration Christian Center,,Non-denominational,4 Journey,Aliso Viejo,92656,,
Iglesia Esperanza Viva,,American Baptist,62 Mallorn Dr,Aliso Viejo,92656,,
Iglesia Vida Abundante,,Non-denominational,4 Marigold,Aliso Viejo,92656,,
Pacific Hills Church,,Non-denominational,150 Columbia,Aliso Viejo,92656,ccpacifichills.org,949-362-7475
Sea Ridge Community Church,,Community,101 Columbia Ste 165,Aliso Viejo,92656,,
South Orange Korean Reformed Church,,Non-denominational,23 Dogwood Ln,Aliso Viejo,92656,,
Gloria Dei Lutheran Church,,Lutheran,33501 Stonehill Dr,Dana Point,92629,,949-493-3414
Pacific Coast Church (Capo Beach),,Non-denominational,25975 Domingo Ave,Capistrano Beach,92624,capobeachchurch.com,949-493-2006
Pacific Bible Church,,Bible Church,24745 Camarillo St,Dana Point,92629,,
San Felipe de Jesús Catholic Church,,Roman Catholic,26010 Domingo Ave,Capistrano Beach,92624,,
Saddleback Church – Dana Point,,Southern Baptist,24399 Dana Dr,Dana Point,92629,saddleback.com,
St. Edward the Confessor Catholic Church,,Roman Catholic,33926 Calle La Primavera,Dana Point,92629,stedward.com,949-496-1307
South Shores Church,,Baptist,32712 Crown Valley Pkwy,Dana Point,92629,southshores.org,949-496-9331
Capo Beach Palisades UMC,,United Methodist,27002 Camino de Estrella,Capistrano Beach,92624,,
Holy Trinity Catholic Church,,Catholic,1600 Corporate Dr,Ladera Ranch,92694,holytrinityladera.org,949-218-3131
Village Presbyterian Church,,Presbyterian,19 Laurelhurst Dr,Ladera Ranch,92694,,
Living Water Christian Fellowship,,Non-denominational,— (meets at LR Middle School),Ladera Ranch,92694,imagechurchoc.com,
American Catholic Church,,Catholic (Independent),430 Park Ave,Laguna Beach,92651,,
Calvary Chapel Seaside,,Calvary Chapel,21540 Wesley Dr,Laguna Beach,92651,,
Laguna Beach United Methodist Church,,United Methodist,21632 Wesley Dr,Laguna Beach,92651,lagunabeachumc.org,
Laguna Presbyterian Church,,Presbyterian,415 Forest Ave,Laguna Beach,92651,lagunapreschurch.org,949-494-7555
Neighborhood Congregational Church,,UCC,340 St. Ann’s Dr,Laguna Beach,92651,ncclaguna.org,949-494-8061
Church By The Sea,,EFCA,468 Legion St,Laguna Beach,92651,churchbythesea.org,949-494-6600
Redemption Church,,Non-denominational,1085 Laguna Canyon Rd,Laguna Beach,92651,redemptionlaguna.org,
St. Mary’s Episcopal Church,,Episcopal,428 Park Ave,Laguna Beach,92651,stmaryslagunabeach.org,949-494-3542
St. Catherine of Siena Catholic Church,,Catholic,1042 Temple Terrace,Laguna Beach,92651,stcathchurch.org,949-494-9701
Saint Paul’s Lutheran Church,,Lutheran,1190 N. Morningside Dr,Laguna Beach,92651,stpaulslutheranlb.org,949-494-6971
International Coalition of Youth for Christ,,Non-denominational,412 N. Coast Hwy #102,Laguna Beach,92651,,
Open Christian Church,,Non-denominational,2222 Laguna Canyon Rd,Laguna Beach,92651,,
Crossline Church,,Evangelical,23331 Moulton Pkwy,Laguna Hills,92653,crosslinechurch.com,949-916-0250
Spirit and Truth Lighthouse,,UPCI,23141 Verdugo Dr #104,Laguna Hills,92653,,
The Movement Church,,Non-denominational,25401 Paseo De Valencia,Laguna Hills,92653,themovement.church,
Evangelical Free Church of Laguna Hills,,EFCA,25382 Mackenzie St,Laguna Hills,92653,,
St. George’s Episcopal Church,,Episcopal,23802 Avenida de la Carlota,Laguna Hills,92653,stgeorgesparish.org,
Temple Builders Community Church,,SBC,25661 Paseo De Valencia,Laguna Hills,92653,,
Laguna Hills Church of Christ,,Church of Christ,25411 Cabot Rd,Laguna Hills,92653,,
First Baptist Church of Laguna Woods,,Baptist,24521 Moulton Pkwy,Laguna Woods,92637,,949-837-2435
Geneva Presbyterian Church,,Presbyterian,24301 El Toro Rd,Laguna Woods,92637,genevapres.org,949-837-2323
Laguna Country UMC,,United Methodist,24442 Moulton Pkwy,Laguna Woods,92637,,
St. Nicholas Catholic Church,,Roman Catholic,24252 El Toro Rd,Laguna Woods,92637,st-nicholaschurch.org,949-837-1090
Calvary Chapel Pacific Hills,,Calvary Chapel,24481 Moulton Pkwy,Laguna Woods,92637,ccpacifichills.org,949-362-7475
Lutheran Church of the Cross,,Lutheran,24231 El Toro Rd,Laguna Woods,92637,lutherancross.org,
Saddleback – Laguna Woods,,Southern Baptist,24262 Punta Alta,Laguna Woods,92637,saddleback.com,
Christian Mission Church,,Missionary,27812 Forbes Rd #A,Laguna Niguel,92677,,
Faith Episcopal Church,,Episcopal,27802 El Lazo,Laguna Niguel,92677,faithepiscopal.org,949-249-1218
Laguna Niguel Presbyterian Church,,Presbyterian,30071 Ivy Glenn Dr,Laguna Niguel,92677,lagunaniguelpresbyterian.com,949-249-1211
Mission Lutheran Church,,Lutheran,24360 Yosemite Rd,Laguna Niguel,92677,missionlutheran.org,949-831-8820
New Life Foursquare Church,,Foursquare,26041 Cape Dr #101,Laguna Niguel,92677,,
Vineyard Community Church,,Vineyard,27632 El Lazo #A,Laguna Niguel,92677,vineyardoc.org,
Laguna First Church,,Non-denominational,29012 Aloma Ave,Laguna Niguel,92677,,
Laguna Niguel Foursquare Church,,Foursquare,27821 La Paz Rd,Laguna Niguel,92677,,
Shepherd of the Hills Church,,UCC,30111 Niguel Rd #G,Laguna Niguel,92677,sothumc.org,
St. Timothy Catholic Church,,Roman Catholic,29102 Crown Valley Pkwy,Laguna Niguel,92677,st-timsrc.org,949-249-4091
Aliso Creek Church (LN),,Non-denominational,27601 Forbes Rd #51,Laguna Niguel,92677,alisocreekchurch.org,
Crown Valley Covenant Church,,Covenant,24600 La Plata Dr,Laguna Niguel,92677,,
Mercy Covenant Church,,Non-denominational,28052 Camino Capistrano,Laguna Niguel,92677,,
Abiding Savior Lutheran Church,,Lutheran,23262 El Toro Rd,Lake Forest,92630,abidingsavior.com,949-830-1460
Grace Community Church,,Bible Church,26052 Trabuco Rd,Lake Forest,92630,graceoc.com,949-581-4248
Macedonia Christian Fellowship,,Non-denominational,22600 Lambert St #1201,Lake Forest,92630,,
Saddleback Church – Main Campus,,Southern Baptist,1 Saddleback Pkwy,Lake Forest,92630,saddleback.com,
Santiago de Compostela Catholic Church,,Roman Catholic,21682 Lake Forest Dr,Lake Forest,92630,sdccatholic.org,949-951-8599
Urim Korean Church,,Reformed,23662 Birtcher Dr,Lake Forest,92630,,
Calvary Chapel Lake Forest,,Calvary Chapel,20762 Canada Rd,Lake Forest,92630,calvarylakeforest.org,949-707-0800
Iglesia Fe y Gracia,,Non-denominational,22600-D Lambert St #1007,Lake Forest,92630,,
The Hills Spiritual Center,,Christian Spiritualist,23685 Birtcher Dr,Lake Forest,92630,,
Calvary Chapel Foothill Ranch,,Calvary Chapel,26882 Vista Ter,Lake Forest,92630,,
Arbor Christian Fellowship,,SBC,23302 El Toro Rd,Lake Forest,92630,arborchurch.org,949-830-7473
Canyon Hills Church,,Non-denominational,24012 Calle de La Plata,Lake Forest,92630,canyonhillsfriends.org,949-707-4100
Centro Evangelístico Faro a Las Naciones,,Pentecostal,20918 Bake Pkwy Ste 108,Lake Forest,92630,,
Cristo Rompe Las Cadenas,,Southern Baptist,24422 Muirlands Blvd,Lake Forest,92630,,
Foothill Family Church,,Non-denominational,26981 Vista Ter #A,Lake Forest,92630,foothillfamily.com,949-455-9119
St. Marina Coptic Orthodox Church,,Coptic Orthodox,23672 Birtcher Dr,Lake Forest,92630,saintmarina.org,949-462-0260
